level_0,index,team,type,minute,shot_type,shot_statsbomb_xg,shot_outcome,pass_outcome,player,x,y,endX,endY
9,9,Spain Women's,Pass,0,,,,Incomplete,Irene Paredes Hernandez,24.9,66.2,37.3,59.8
12,12,Spain Women's,Pass,0,,,,Incomplete,Alba María Redondo Ferrer,32.5,74.9,40.6,74.6
20,20,Spain Women's,Pass,0,,,,Incomplete,María Francesca Caldentey Oliver,73.7,17.2,93.2,38.3
23,23,Spain Women's,Pass,1,,,,Incomplete,Alba María Redondo Ferrer,50.6,57.0,63.0,52.6
38,38,Spain Women's,Pass,2,,,,Incomplete,María Francesca Caldentey Oliver,108.8,5.9,117.2,39.1
47,47,Spain Women's,Pass,2,,,,Incomplete,Ona Batlle Pascual,33.0,76.4,45.9,72.0
56,56,Spain Women's,Pass,3,,,,Incomplete,Laia Codina Panedas,39.8,21.1,51.2,47.0
60,60,Spain Women's,Pass,3,,,,Incomplete,Olga  Carmona García,15.0,31.3,42.2,30.0
77,77,Spain Women's,Pass,4,,,,Incomplete,Jennifer Hermoso Fuentes,80.5,3.8,76.8,2.4
85,85,Spain Women's,Pass,4,,,,Incomplete,Irene Paredes Hernandez,14.9,70.1,52.2,69.6
95,95,Spain Women's,Pass,5,,,,Incomplete,Laia Codina Panedas,34.7,14.8,39.9,13.4
100,100,Spain Women's,Pass,6,,,,Out,María Francesca Caldentey Oliver,37.2,15.0,39.9,0.1
104,104,Spain Women's,Pass,6,,,,Incomplete,María Francesca Caldentey Oliver,62.4,4.3,57.2,2.7
124,124,Spain Women's,Pass,7,,,,Out,María Francesca Caldentey Oliver,53.3,22.3,120.0,58.9
141,141,Spain Women's,Pass,8,,,,Incomplete,Alba María Redondo Ferrer,78.5,75.4,81.8,72.5
143,143,Spain Women's,Pass,8,,,,Incomplete,Alba María Redondo Ferrer,95.2,72.8,98.4,71.9
150,150,Spain Women's,Pass,9,,,,Incomplete,Alexia Putellas Segura,71.3,24.0,71.1,26.6
154,154,Spain Women's,Pass,9,,,,Incomplete,Ona Batlle Pascual,51.2,68.8,109.9,58.6
160,160,Spain Women's,Pass,9,,,,Out,Alba María Redondo Ferrer,105.7,74.0,120.0,23.1
168,168,Spain Women's,Pass,10,,,,Incomplete,Alba María Redondo Ferrer,117.2,47.8,115.4,38.3
169,169,Spain Women's,Pass,10,,,,Incomplete,Alba María Redondo Ferrer,116.2,48.6,113.8,34.7
173,173,Spain Women's,Pass,11,,,,Incomplete,Teresa Abelleira Dueñas,74.2,31.8,91.5,32.1
179,179,Spain Women's,Pass,11,,,,Incomplete,Alba María Redondo Ferrer,92.4,74.5,95.4,73.2
187,187,Spain Women's,Pass,11,,,,Incomplete,Olga  Carmona García,53.2,2.4,68.8,2.9
197,197,Spain Women's,Pass,13,,,,Incomplete,Aitana Bonmati Conca,89.7,73.6,95.4,69.1
209,209,Spain Women's,Pass,14,,,,Out,Ona Batlle Pascual,45.4,74.1,67.2,79.6
218,218,Spain Women's,Pass,16,,,,Incomplete,Teresa Abelleira Dueñas,7.9,18.5,50.7,30.2
221,221,Spain Women's,Pass,16,,,,Unknown,Jennifer Hermoso Fuentes,45.6,42.0,41.5,42.6
230,230,Spain Women's,Pass,17,,,,Incomplete,Alexia Putellas Segura,23.3,4.0,25.7,2.7
232,232,Spain Women's,Pass,17,,,,Incomplete,Jennifer Hermoso Fuentes,56.1,3.0,50.3,6.3
238,238,Spain Women's,Pass,18,,,,Incomplete,Alba María Redondo Ferrer,99.4,58.0,103.8,43.6
254,254,Spain Women's,Pass,19,,,,Out,Teresa Abelleira Dueñas,26.2,65.2,33.3,79.0
257,257,Spain Women's,Pass,19,,,,Incomplete,Alexia Putellas Segura,40.1,41.6,56.2,31.9
262,262,Spain Women's,Pass,19,,,,Incomplete,Teresa Abelleira Dueñas,33.1,40.2,63.5,48.9
264,264,Spain Women's,Pass,19,,,,Incomplete,Alba María Redondo Ferrer,55.8,51.2,55.4,47.9
279,279,Spain Women's,Pass,20,,,,Incomplete,María Francesca Caldentey Oliver,81.5,4.6,101.3,45.4
282,282,Spain Women's,Pass,20,,,,Incomplete,Aitana Bonmati Conca,96.0,56.7,116.8,39.9
292,292,Spain Women's,Pass,21,,,,Out,Olga  Carmona García,27.5,1.9,44.9,0.1
316,316,Spain Women's,Pass,23,,,,Incomplete,Alba María Redondo Ferrer,82.3,68.2,90.5,62.2
322,322,Spain Women's,Pass,24,,,,Incomplete,Ona Batlle Pascual,79.4,77.4,81.8,75.4
331,331,Spain Women's,Pass,24,,,,Incomplete,Aitana Bonmati Conca,87.6,56.0,85.3,31.8
345,345,Spain Women's,Pass,26,,,,Incomplete,Irene Paredes Hernandez,41.7,16.9,85.5,10.5
346,346,Spain Women's,Pass,27,,,,Incomplete,María Francesca Caldentey Oliver,107.0,14.0,111.8,40.5
348,348,Spain Women's,Pass,27,,,,Out,Laia Codina Panedas,50.6,2.9,57.7,0.1
357,357,Spain Women's,Pass,28,,,,Incomplete,Jennifer Hermoso Fuentes,92.0,44.7,86.3,29.8
379,379,Spain Women's,Pass,29,,,,Incomplete,Irene Paredes Hernandez,14.5,52.8,18.9,52.6
398,398,Spain Women's,Pass,33,,,,Incomplete,Irene Paredes Hernandez,112.8,48.8,112.0,44.9
399,399,Spain Women's,Pass,33,,,,Incomplete,Alexia Putellas Segura,113.9,57.6,115.7,39.9
400,400,Spain Women's,Pass,33,,,,Incomplete,Laia Codina Panedas,111.4,8.2,109.4,10.8
401,401,Spain Women's,Pass,34,,,,Incomplete,Teresa Abelleira Dueñas,120.0,0.1,117.2,36.2
417,417,Spain Women's,Pass,36,,,,Incomplete,Ona Batlle Pascual,4.8,72.8,9.2,72.7
423,423,Spain Women's,Pass,36,,,,Incomplete,Aitana Bonmati Conca,33.5,57.0,53.3,32.4
457,457,Spain Women's,Pass,39,,,,Incomplete,Irene Paredes Hernandez,16.8,67.3,71.3,69.1
460,460,Spain Women's,Pass,39,,,,Out,Ona Batlle Pascual,38.8,60.4,66.3,79.6
467,467,Spain Women's,Pass,40,,,,Incomplete,Ona Batlle Pascual,84.2,50.4,103.8,36.0
468,468,Spain Women's,Pass,40,,,,Incomplete,Laia Codina Panedas,72.6,34.9,85.8,33.1
473,473,Spain Women's,Pass,40,,,,Incomplete,Olga  Carmona García,23.1,6.9,40.1,4.0
476,476,Spain Women's,Pass,41,,,,Incomplete,Alexia Putellas Segura,32.8,16.4,43.0,17.9
480,480,Spain Women's,Pass,41,,,,Incomplete,Olga  Carmona García,2.1,15.6,11.6,7.1
487,487,Spain Women's,Pass,44,,,,Incomplete,Olga  Carmona García,10.7,12.4,14.5,6.3
